Date,ID,Q,u_mean,m_0,m_1,depth,logQ,logh
2021-07-09T11:16:40Z,5,1636.0319680646555,0.3968788312145623,1222.4700000000005,177420.07500000007,0.8439108374807658,3.2137917855323908,-0.0737034358810179
2021-09-13T10:51:10Z,5,25.60160573271156,0.07597865194112322,11718.014999999998,3716888.287499999,0.05273818537536084,1.4082672051160037,-1.2778748175654433
2021-11-10T13:24:36Z,5,330.7745558760914,0.19139378685336617,4232.490000000005,895618.6500000035,0.3441110955449027,2.519532094992941,-0.4633013237282814
2022-01-28T13:03:10Z,5,55.31126413894194,0.0471128862246587,3615.899999999998,1634768.6624999992,0.11846863259589223,1.7428135843829786,-0.9263966242852956
2022-04-08T08:54:08Z,5,-59.40870515756672,0.00694739227240407,-20199.060000000005,-90130344.66000004,0.3048569196676142,NA,-0.5159039428780613
2022-06-21T11:25:39Z,5,19.291225892297557,0.02483306156165581,20734.81500000001,24214075.800000004,0.008345278178159492,1.2853598264693809,-2.0785591821451788
2022-09-02T11:20:06Z,5,83.24103983042133,0.10568803474143636,12013.305000000004,4194334.350000002,0.29288632676275245,1.9203374966932834,-0.5333009026444351
2022-11-14T15:09:10Z,5,61.92602317271787,0.06321717128409639,7266.735,2988667.575,0.10095846379192774,1.7918731909477321,-0.9958572663781173
2023-02-02T13:54:09Z,5,29.89741077211184,0.01725375569161135,6689.542500000001,10468309.0875,0.1309053225898659,1.4756335784222483,-0.8830426947447867
2023-03-14T13:14:39Z,5,190.1212973877335,0.1731011675457836,3155.879999999998,645392.2499999981,0.3222681589333492,2.2790307692583776,-0.4917826019734417
2023-05-01T13:40:07Z,5,7.120544408343279,0.01063094281060332,7021.935000000005,16645067.62500002,0.08191918565655305,0.8525131993251677,-1.0866143735877665
2023-12-19T10:19:10Z,5,1159.084323384526,0.19738028883776176,3105.9000000000005,597953.3250000001,0.7565873910535703,3.0641150320364754,-0.12114090074019124
2024-03-25T09:32:06Z,5,75.93758234481585,0.08189338925702103,19753.065,9165776.1,0.2007007543885216,1.8804567662167404,-0.697450995095193
